Cell_ID,Cell_Type,Batch,Condition,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20
Cell_10,Unknown,Batch3,Disease,59.542397396545326,57.46393393809462,45.44840554616388,45.412442574415124,48.90614728861921,49.32673422169913,52.81201399771316,42.03955741042555,57.58175613693586,54.76673833050363,46.76205175818959,43.39617503908241,58.50541518895446,56.35887791189222,51.64699729820043,56.470649273616445,53.41402814234326,46.815546181938764,53.1030677358515,53.064577364079604
Cell_11,Monocyte,Batch2,Healthy,41.6735760473846,52.17526062785835,44.825692232269375,53.31831632437383,error,49.590282330760076,42.682340178982265,62.53818329279049,52.42576981900403,38.68374145503906,50.170812275306005,47.01596070697919,50.75817651719983,56.74008833454118,54.11611097115589,53.39495120291339,65.36728398158432,43.371355823013545,39.46311795856477,43.245307246998095
Cell_12,T-cell,Batch2,Healthy,41.091274279439766,37.59682725221673,38.74073334680971,54.57380790754204,39.80205367518706,39.42267506387018,52.45004694630095,42.58035935803753,25.706324098131756,25.06144375223855,36.904149031697834,57.31536464055871,57.68852314080832,51.13335689910866,39.70956507166768,error,43.10287867771595,39.4650150655134,76.3356111013706,59.817137546456635
Cell_13,T-cell,Batch2,Disease,,48.97663776103929,52.10258220520618,45.96483716258541,54.02273997951642,60.370557882692,61.20766258445647,62.472764339247576,41.02915095068643,55.071694477787574,48.688331605335044,50.66046128651593,error,59.488471671277075,40.749075366370676,45.4689385624864,39.91761803982957,51.38304021036285,,57.04698953904807
Cell_14,B-cell,Batch2,Disease,64.61731421348584,38.804290616588936,58.07334824152167,,45.67876380851473,43.23915454721999,43.753254433062835,56.92426611885797,57.14315843234925,53.995626305082105,54.81119025570371,52.01071486863604,48.16622982754124,55.260089140131,33.92061173471402,40.34910369832404,42.52705047926315,52.89859755082783,70.6037936687174,46.14237488027107
Cell_15,Unknown,Batch2,Healthy,38.85107749157867,31.668648889518543,62.14868772911035,32.01364208954594,48.49934873297237,49.87744300175396,53.20726439058668,63.243440906117755,47.437351650493454,64.82474475434836,61.41348998178778,33.434807250183695,,46.67537620990209,30.173001915029293,52.504564474990204,67.30081677651944,46.71930226347773,34.96931761189362,37.888611057545745
Cell_16,B-cell,Batch1,Disease,57.73188220315786,67.66797934937439,38.68719666947804,45.3082139295786,41.99894164624113,36.32069587888279,55.51354579665741,64.67922617361884,52.411853790389124,24.103983668669397,48.640493128214274,34.737813355861974,39.04070367519688,66.9334486430175,44.736453444664036,54.97516418385509,59.95960011489961,48.79116278830623,37.72419317951945,40.99746390227306
Cell_17,Unknown,Batch3,Healthy,46.92661498945582,43.74141801397773,45.06422356957373,36.636457109572596,56.14414081632474,39.91217452210222,53.38400454177404,59.95134567599685,,37.608508740037095,43.916443750036215,56.694460851912154,58.41809946489958,39.691667951891766,40.347184834141906,34.604555976514426,53.10254100043387,47.625402012905276,51.499685802904104,49.09756388193909
Cell_18,T-cell,Batch3,Disease,46.697552426955866,42.91448919560898,48.187340113343815,56.16402136257278,54.596040445235914,50.10993487298677,47.513718187507656,52.780234995631616,62.15607083996065,46.94979735360793,45.10668186148389,36.174147944632175,32.877927325970575,31.555354827897375,38.41521529990134,52.74911418410462,46.0987795579383,37.96922334892527,46.26268389459462,26.092422569572552
Cell_19,T-cell,Batch1,Healthy,68.98080932675796,47.562392740376666,35.44820926574449,63.06251305440211,59.54236571879955,76.9065926801839,51.627622732022004,,60.85332706683123,48.17084763550664,51.81997755056939,56.195000617465666,60.97443418890809,38.1348670326375,64.05658979350997,53.56978033736536,55.55324510939725,40.749385383825924,37.184805364776366,26.52730252563043
Cell_20,NK,Batch1,Healthy,error,39.38299342921536,45.73990684470266,44.68387335191937,47.47277781372393,45.77678859181993,67.22275649499525,54.602990174580555,53.35586827919244,,59.419906294248,66.2024876619426,41.474491090746845,45.03430722923767,49.38313412764499,66.00209552439493,64.32837297385582,43.71522300941338,48.34014190021643,55.146132192506144
Cell_21,Monocyte,Batch2,Disease,51.286607428712344,58.07024058220135,45.588925518493426,28.956135752636435,70.85245799843244,45.89478043955677,51.38447437674647,44.18896508050487,41.868865869887344,52.931413872373504,49.54907207488876,,32.02684939768287,43.68564860129511,49.68812805732414,53.041365108320164,39.8921237404044,42.82823362856122,30.71333451089606,47.30928182089394
Cell_22,Monocyte,Batch2,Healthy,54.31132107517229,64.65626768411994,52.81844296477359,52.167926630739736,43.518104767233325,57.01549289615073,57.51148087376793,56.18895388651388,40.177431789195246,54.54454429826097,39.47589195696436,45.03212454219872,41.04168485534775,41.86786496139863,28.132959083284508,,error,54.79888465107749,,54.46926440818473
Cell_23,NK,Batch2,Disease,62.6071908260498,48.4263577500586,41.6934744704807,64.48440654659467,error,50.69992252944333,29.285242287294242,46.01180977808837,40.12156956443498,,45.41143906662429,31.0265838691345,35.59214579784825,47.079355711604144,47.03621933248766,63.962083937102946,59.831526355439166,47.64635124888153,53.65106703716088,45.785479151494535
Cell_24,Unknown,Batch1,Healthy,74.65595766175765,56.31923609726762,63.55572974728361,43.58231630599328,50.38991601854045,54.67586381083706,35.97438756345959,41.668134917457,63.39154008957037,,43.63116458395527,,68.89907149108159,42.00789412188623,36.636486716617114,,59.946511283445176,43.89912025596426,55.63236901972543,36.98607064952118
Cell_25,Monocyte,Batch2,Healthy,43.23516369249344,70.15193410879753,,59.18734858990395,,44.41717876464652,error,38.71387688299356,59.77157808430334,55.12459460586791,33.63827877212472,,error,55.5021564933849,error,51.258160391553965,54.38536444660391,44.94293331472841,59.79278562216153,64.91248025111797
Cell_26,Unknown,Batch3,Disease,49.01749166189439,45.123717996193044,55.377104657374666,37.87048741544895,42.187713916333124,40.08606917661704,51.26076831861565,52.74709082423499,34.8325104058615,43.049801037585446,,34.70459444498684,28.19662996228624,42.3479474394093,46.71263763228643,28.79710222690111,54.88627075087182,56.19614135612188,34.39532238693334,58.7871134614591
Cell_27,Monocyte,Batch3,Healthy,error,44.062784207356,,57.10154236474353,55.81838410890708,36.004378584587826,57.94532552626892,58.37930453646274,33.38133387189538,48.07550416326007,30.668614191193658,44.61845284280487,55.31724649525421,63.91446236585888,33.66927632476013,60.032477161529414,52.12232434989403,41.556230487845625,48.898484827910366,45.861136144594
Cell_28,NK,Batch1,Healthy,49.4390373789876,63.657008831180526,37.646836312208976,41.88968478842326,42.911844125214074,57.10050291106098,46.67578893491698,50.100441310735015,55.59106462824819,40.42410011787936,41.51261935499075,48.025262321261096,63.90281530936024,80.63905755761064,47.629304335583505,48.635602141005855,51.39304342829753,42.94980071827278,53.30704071136081,68.90856924092499
Cell_29,B-cell,Batch2,Disease,47.44404297856762,53.008635656870254,35.19040957015589,55.504021577873914,54.08231448956076,40.78330131182524,63.22030687366853,42.612445865642925,40.53051369539954,48.88441642564376,error,49.46445201545129,55.68335213460751,53.02576633423874,57.34882000282174,54.59514913732789,30.315648758530955,50.49722137124414,62.75502793754518,45.438063208990194
Cell_30,Unknown,Batch1,Healthy,48.759686876734726,36.372569204547474,45.80167547430012,57.91979673580863,41.367858313183085,error,53.63720809834545,44.00507548572388,46.35825719112829,24.8881453078446,24.753877263000405,52.12277886105713,44.39530149284063,51.803820095600116,40.552876768608215,79.86357782713668,49.11398351139195,57.94850753191042,34.12451377504031,56.64317371058527
Cell_31,Unknown,Batch3,Disease,39.88653521805393,36.135511395489125,52.01683662256955,52.69387808228207,63.248400856817426,31.798920563187426,40.96226765534896,error,56.107579388187006,51.17853633285016,41.36684574802331,,41.19062668425018,53.097530547324006,43.66659231484347,58.74756852443727,53.05022161161024,34.58669080149146,51.02356292862448,44.291670737031
Cell_32,T-cell,Batch3,Healthy,64.79669988020659,49.047021521124414,39.1327845029251,51.901155663063726,43.29298746993739,41.27978858787462,46.38344154690122,66.25942999823837,51.10020356550405,49.41955904885628,40.51309616355334,39.90077649462409,35.337744187088745,48.39907223647313,36.969544641013634,25.699775943159764,42.08836474380785,58.558605206800735,43.53332318048221,45.945502135637746
Cell_33,Monocyte,Batch2,Healthy,53.85275410554446,53.758078354215804,error,,50.12820768583938,53.35817869753186,56.81187228758385,48.99807876173327,48.452000604473916,70.1210993567361,38.95573992630574,55.008340318469976,56.427967712044385,42.125941788562216,58.65793514348259,59.9815115744596,60.430171560678176,34.20224882025563,49.17762305038644,55.78361049810926
Cell_34,Monocyte,Batch3,Disease,53.67135051089636,20.283038150381568,42.680647772585324,39.64458997269954,63.83710864613791,58.269234071590475,37.841689292483835,51.52598632040344,35.00011872915703,53.05484486530742,61.2303012901575,56.3407495388929,31.500938589921944,48.30488394848801,65.54770948989736,,44.51488268656249,50.30070212611163,43.104987580778825,38.25139101008329
Cell_35,B-cell,Batch3,Healthy,58.176452680318214,58.81352365196563,,46.73359055164024,48.74849879090412,66.79310055708112,47.79975629743235,46.23451061868703,29.965936166701226,49.81753823486117,28.072004791862287,52.905130415473735,27.815525243530466,45.981771042590566,44.49922047082615,41.8860836699939,50.926137663831526,42.69947426096946,60.02208984195054,43.277675103253124
Cell_36,Unknown,Batch3,Disease,57.57436058280407,54.40642198779995,42.799407772753746,54.99987796727662,53.313085277029565,50.8284855090886,51.74554964634503,58.001906102483,51.86799851763327,44.11766189285588,49.30992903911269,36.82001353859762,49.967533658825566,48.920524887746005,62.2641703785344,61.076965367192955,64.7356080648305,39.03686252834058,34.55924283218312,45.90457242213905
Cell_37,NK,Batch3,Healthy,52.328829972395475,60.4131529994561,25.84721726468322,29.217103372325468,70.73751396398802,52.67276008904703,51.444158563120546,52.54207672970547,38.74121367455601,47.25628973450711,29.43786494267025,64.04390516278828,51.01310018942499,49.7207620062891,48.13396668088547,61.297139958696796,65.64671642521166,50.715848577221465,41.89755240521244,28.47665978611043
Cell_38,Monocyte,Batch1,Disease,56.9552277479489,55.6223809003621,63.46788169158683,36.53642716139557,,49.245707479533486,64.5184920711303,32.160407064224096,58.9980840240294,47.996750299327395,66.04669008942818,54.01144646209019,45.282731974058684,40.48613616830713,56.86039319452245,58.96393106526979,52.001029030307286,56.5305726873416,52.96262834421873,46.27803154344221
Cell_39,B-cell,Batch1,Healthy,43.40430678429149,39.0420039672696,37.28543710489051,51.40015771707566,34.56209166107254,38.29056266622795,50.0377715761827,,43.13466808129898,66.92205644561442,60.20849510361851,53.326331994070806,45.02022320096496,59.16121457188336,47.20308373223419,49.7446069120484,49.614624915423704,46.65292481632383,44.51454491331227,51.19469619860751
Cell_40,NK,Batch2,Disease,45.484814337724345,38.42399473134367,,46.551581204086986,42.936979158826084,67.52058267502935,63.15219472138598,56.96719071540729,,47.795405822387806,45.32953763960062,38.90097446180353,49.606329863713405,48.159180361974094,54.372977711429634,52.248961109228105,52.46285377556814,42.618098057134574,53.177752393790165,55.00558316176304
Cell_41,Monocyte,Batch2,Disease,63.22074645102137,69.0829028731554,47.008130868951056,63.30272005663961,58.62035563660736,53.24508784871119,39.982620663021194,52.26301010727351,45.118697985238875,48.167621648985154,47.28891029550544,17.779616504610424,77.20928843785988,error,39.35215517618364,51.43662527500795,60.166995376348765,53.25769585228805,53.73610942665874,53.065379990616385
Cell_42,T-cell,Batch2,Healthy,41.46314813517468,41.61025455770712,41.36956166036467,54.35191236022034,error,52.478607383965446,46.80238479841,44.900900958954125,52.80901316548035,57.60617547074916,33.56345106499593,36.63508775340125,64.00953427163356,65.54591122629031,47.37870370632069,61.01927111138559,51.51919383139237,44.984303930945714,44.37014744968541,73.6439655781445
Cell_43,B-cell,Batch3,Healthy,66.17752996918938,45.98048312603211,53.621193580839055,47.39481419718775,43.18218283289714,45.979832966216335,42.774517367120495,36.59082566431772,47.114245458135606,38.18927054276691,62.68334619894017,35.258528027755915,57.06463821525203,48.72266010915419,50.866783998086056,34.475287807043216,,49.331222190158556,61.075525459849494,57.07980777658513
Cell_44,B-cell,Batch1,Disease,59.550678304168585,81.26619100612334,62.158012458378984,46.59679999742025,51.74527555459436,43.80066428250329,43.60717397226092,54.92267986462126,63.30834916149644,65.5577321708044,,40.526300463171765,52.60750668957635,45.366639881946945,61.484093541032564,72.47451480748231,51.86286891945545,49.044409149003165,58.0747852015227,35.34779806155583
Cell_45,Monocyte,Batch2,Disease,42.63243883524278,52.1668178647028,,43.91233065503063,38.41334144602661,48.76014446383955,58.0992623307035,38.26730231976901,46.463134956774745,41.62355136752916,37.1581715364172,34.086610489067525,46.47385984543604,43.92104211921886,50.62843618907991,64.51451615927554,37.906410206344646,55.657803411318135,42.93716381433001,
Cell_46,Monocyte,Batch1,Healthy,49.920128996750705,43.86991106530827,46.70032279089041,66.22475595128135,43.84415427003936,60.85054246607308,error,49.979775985858154,52.70163833202156,61.39221152507683,32.237056462686596,53.21389285664594,49.7483453596209,49.157751911490166,54.82531870044613,50.233452934770106,37.072832456856986,35.766620586612184,46.93602624347443,62.076108886790294
Cell_47,Unknown,Batch2,Disease,47.31242032504553,70.86891775404476,43.737209582716446,58.082929776274334,49.61539863439599,37.797643786233735,53.699967420586425,61.92269921436002,61.59568134456886,60.53268333129864,41.57253583524492,47.43305188782143,46.69172376513229,38.79528168724954,30.80675253768456,57.99815259352814,48.515671126006,44.63370283556631,51.115401817673764,56.299651550182496
Cell_48,Unknown,Batch2,Healthy,55.43715045558929,59.3035045541948,58.16842886116679,61.84907306132234,41.06337481554755,45.17505437457501,51.02244289684103,63.79378099152365,46.325402430278736,27.922313757893757,35.11599477641058,36.757077142247354,52.53848872764541,54.05761524458033,36.32033624968281,51.61058159868064,27.501031994047047,37.25689144005758,48.95392530288316,55.79749023041937
Cell_49,NK,Batch2,Disease,32.65332484841913,53.96062179019842,57.52683877375361,49.15749904491849,36.79745374792771,47.97805623389653,21.546827409343496,42.61411310159882,62.225306829400346,51.51566471423738,56.93121304236894,43.150593686961365,75.60372395589725,39.04877351343629,53.34947425531057,error,49.99191114292136,41.96531527561027,47.18030364733873,50.60329104966205
Cell_50,B-cell,Batch3,Healthy,58.86314644595215,48.735441223897716,31.895181036412946,68.59053918383248,59.12206825166658,41.92424709044342,49.58352404507759,,66.36975418929663,51.23753311553801,54.4006712395953,57.79516259881751,62.242166528765246,58.54719475406261,57.32442538519496,43.89989358210731,51.463276932182865,54.62742952117036,42.68603408357935,46.77493749704441
Cell_51,T-cell,Batch1,Disease,23.057887385927156,40.758686341574865,50.42930681265788,54.45723429021042,33.172537869485865,49.92503288060023,47.3044362817918,49.95242069818218,49.92379330106834,45.460030945370576,41.463334529238494,49.39012616531617,41.05272413416337,57.371827658032444,52.17802976937458,44.408254062700706,50.10805729413914,46.55831638116856,53.90541484252709,
Cell_52,B-cell,Batch3,Healthy,46.27059566858927,57.355903910745255,41.423859669785784,46.713886347310904,47.269292890074475,error,26.018709396880773,38.600165250669065,82.27229309979872,57.28627272205905,60.00807751073995,,51.45008635295562,53.71713083562141,,44.59511882606644,error,54.24752500133734,51.6704430675777,45.37988058593172
Cell_53,Monocyte,Batch1,Disease,57.769422997785284,46.25251129668796,52.04764281013978,31.156417931678035,55.19653995676225,58.14701715063723,,46.97047746672563,49.827386622442916,64.2597892071865,39.793562892397745,64.28428394353774,43.25871063988346,37.79213070231471,42.60124011520773,,58.23622292149773,44.9401510906425,45.065232201459885,44.10233187377446
Cell_54,Unknown,Batch3,Disease,51.277794146048706,46.49932998068081,47.836311923909655,50.96795159579906,54.94066748986728,45.796883684636896,50.19884319675917,31.38318667128357,51.504368091768754,47.28233468077581,error,error,51.52964115683961,60.7608642011982,60.04357257996965,44.148606297010275,58.68699524908763,47.00736433024066,49.53649903304105,54.944391891262754
Cell_55,Monocyte,Batch1,Disease,56.58314072514345,51.13553375062064,57.91562438557575,36.23846955648938,57.82861558198658,44.42324838374837,60.5469355004917,60.63307664360903,52.104177534645636,60.53294656876137,62.94836468979067,50.67542598470848,68.5141880471079,48.65215544664997,51.6201238319804,50.89527458063506,62.236254899518,46.701435028881676,42.0461421268236,52.22044785914875
Cell_56,Monocyte,Batch3,Disease,,52.86506560214351,61.82982937907897,42.38772703926103,26.40624309433165,46.863167092601145,49.48358941578463,58.25020925238097,55.539801630479325,56.33653489536804,58.57446609294921,42.49645376085894,59.35325815910696,43.09349029441258,47.01864203167137,61.858669063974546,36.44040938958976,41.25817961799741,49.0014466266525,64.82870769051193
Cell_57,T-cell,Batch2,Disease,38.60158199628886,60.553874612462025,38.05940276533616,69.66228647328705,60.648325997495974,53.599528955094925,40.19651791797689,59.130458054132724,43.705885162044744,49.17629595370607,63.517537522653555,52.10593146280595,51.70475193021271,56.28051713902458,55.069306208874025,45.214588369076,57.43194394990027,55.44227114884942,54.86701418575992,50.845874943676925
Cell_58,B-cell,Batch2,Healthy,46.025153137610474,error,52.398935601692365,57.617636912374856,49.88212294800344,39.699806767259005,53.6578959557886,,74.04052412829947,41.507099477139235,48.71845961576258,33.34829410465262,55.094813359150216,39.595026438767164,53.41116324852245,53.21778339441837,62.8940980901599,38.7392559274815,67.78300758368844,53.100170769681085
Cell_59,B-cell,Batch1,Healthy,70.09111480649685,47.71179966273068,42.26423385404321,53.247651371343636,45.55216205289071,47.44414985315138,,,66.43446523087687,23.63362831702962,59.51632996677617,34.64187440647233,61.34964060394957,69.95775097805802,36.62344534722314,57.10553747557619,55.65746717797491,49.200236780003436,,56.512100949735355
Cell_60,B-cell,Batch2,Healthy,52.070604909839595,26.791227566365357,48.27152708662096,47.22539570874037,66.44554443897118,44.37526241204468,37.2511253452369,47.86746465038999,,,52.230196780125354,63.258372970583295,66.90132490812245,58.58602564013202,54.858869458290314,39.374409380544876,33.561213847350174,58.4502437398604,61.410474518036374,57.76558768749962
Cell_61,Monocyte,Batch3,Disease,error,55.85279213151824,64.91965759892312,37.685319749341254,33.63414786055288,59.151763399148265,57.01529665199083,59.14049941143439,34.623686957884956,47.639370742129785,52.54953969152662,38.41595771956937,67.27529652364488,70.217364695016,52.11202115172471,40.62870454024148,46.10569629370367,45.968098407621746,60.39354931699066,51.15415820526737
Cell_62,T-cell,Batch3,Healthy,28.12913583926907,43.904180950419544,43.435640888708505,38.68560859312509,46.113339874968126,60.571577493949945,52.40070825752625,42.46335693986891,58.078557197866445,46.60098548469665,46.685965259551985,61.59463264079643,41.658927538999095,43.15036901385524,48.99001324236593,55.36117175944513,51.93535277939686,49.407416033679766,35.25066986425327,52.00913367094429
Cell_63,Unknown,Batch2,Healthy,56.56444396396866,65.60103901494396,53.63431149906649,36.05698254363216,52.23533985917482,48.61140176417224,,53.465411654952185,39.85475266262143,60.02118777888131,46.06317271003897,58.80249799730876,47.88881255936123,65.37877129319227,37.352846296915985,42.678274277945256,50.184062134315774,41.61831391895551,68.71858527797804,60.08012840816275
Cell_64,Monocyte,Batch2,Healthy,46.14106431274803,56.30070463151207,39.41797673124171,54.986226270731116,36.90189041827473,47.491548359394876,48.41606766390183,66.82116098088181,66.11853242855433,63.31867124657165,46.25925143284158,49.64456344484996,60.70994745354094,57.300143960330544,42.875384926748445,28.70393530877952,61.77386541188889,55.87038950200933,42.89936452612723,61.056843938009735
Cell_65,T-cell,Batch2,Healthy,70.93068047278973,55.11695678403752,64.13050978743597,38.92529069038967,68.0411360715983,58.40216825769269,,,45.75101726391285,51.35908982895709,36.670647279184635,39.844991253428404,47.941007252154364,46.35067105432404,58.91988329039081,45.25263783868834,37.06586462521736,59.664422250525,42.83840801533829,46.380829711082924
Cell_66,B-cell,Batch1,Healthy,46.44697356190275,45.76373347765051,46.93938441981616,52.43455474160698,56.41748196743293,46.3370201116561,44.8173419108416,50.86698670960391,61.10176108218401,50.18410452478962,72.54732320223125,58.345686417379625,50.06106932187528,44.06279062866125,,52.146543874472606,44.575350818019075,55.51120576028118,54.69614759431063,45.740972714590775
Cell_67,NK,Batch2,Disease,44.39184351519992,53.31267524068083,35.242050061988195,error,41.72308826814495,45.005124868733034,59.49472205858648,57.36639912676283,43.04963140599165,47.04039070866117,58.04351708944786,42.15119698144716,51.17059930540335,59.96210578845388,55.94012281340838,29.129907455598158,44.70473517635791,34.419766788308834,43.17206123698452,47.59974770340642
Cell_68,Unknown,Batch3,Disease,63.98947332147441,,43.729255633408144,,55.05441984838824,51.1339239172223,53.406878798649274,49.158943224483124,54.27865904165277,39.1160335757457,54.66433006625702,47.59510177882457,40.38162488918887,49.88651822650432,51.650936658299,65.8809845891523,56.226596964433014,56.24549694754712,44.91881197738773,44.028156716940266
Cell_69,T-cell,Batch2,Disease,39.533970135303825,30.15188428030322,59.03063286591757,48.62190220174063,44.971853317003195,55.618346515081456,43.96580576315665,38.58826472507969,35.19480170146848,53.97712661267608,53.32744447930454,70.03582619466688,error,53.34211201326003,56.42118812467561,50.28231001238365,40.279971253142484,53.236327203404805,59.309949794360435,48.34082152423519
Cell_70,T-cell,Batch3,Disease,64.48610277822782,42.78632220669302,60.00613869244167,46.90128983774855,50.84201977586025,61.844555573071744,44.44769370673714,43.67597595788115,37.80570767453216,38.00940458295869,38.79969297685889,50.42006622468502,54.193689984754556,46.6091056488692,39.9780297221755,error,57.20225464299219,69.74160733167899,57.51267247875293,error
Cell_71,B-cell,Batch3,Healthy,41.84731684962647,58.72625493543451,59.28182203192971,47.51379363539684,58.1586907577944,50.83933857353968,64.42799427722346,46.214589950577675,52.170142127243906,28.184946699550473,60.48284283931257,47.80799546228932,44.21874827484182,31.102766794427072,42.1236242848307,51.37018093361188,48.29205874591755,53.888636644284524,54.80029025815661,
Cell_72,Unknown,Batch3,Disease,57.870586645055184,25.30686965018519,59.83775265509114,55.12582540321657,36.59162746172557,52.99179120179765,34.54679773218443,69.77793877750531,41.24096736133461,59.15614188308504,58.8398123855566,41.63955024597695,40.5301448291961,53.168708836295295,58.35302522862545,51.78337043712828,45.486958062233114,32.49194243902861,62.247499556091,48.37850380313794
Cell_73,T-cell,Batch1,Healthy,55.94562385251978,,59.55532021456459,,50.276546624716616,,52.197712252982015,38.94959724687662,45.39106536445413,46.94049577247252,45.962980598855765,38.55726318364913,49.35007449935838,52.42023740895766,error,48.11493340873587,47.14930363852495,43.5857839881566,63.79257623055187,60.90289744517673
Cell_74,B-cell,Batch2,Healthy,63.3257722054336,38.26291787716693,50.619087110599075,48.31563430866182,42.0752938633294,53.09357821329894,46.42599639724252,35.60252331622163,50.68074808243248,35.05660121141876,62.33153107603319,,57.46009736853604,55.21050960690541,44.901150931662535,61.403812871197026,28.39148749222256,51.5861313811571,53.85010028351186,40.84096687522325
Cell_75,NK,Batch2,Disease,61.88311775802672,55.79546795878466,52.36766051085155,42.65726356793768,38.81353484628365,45.17625769349936,68.0591459447729,19.339211119841014,52.84421433205234,53.8473638058858,35.426119669028324,39.186682899313965,,32.78804394640915,49.99821856846329,45.52460222445896,39.336135032418184,34.99927016755042,61.512427669738976,60.22963452208614
Cell_76,B-cell,Batch1,Disease,55.744401501681466,42.02173553772216,35.33451668074536,52.161206061157166,56.473789013346824,43.306807892864576,59.175739815908386,50.2556341963837,45.475625074776985,47.47651170197742,54.61797837606279,45.208203730327426,52.910502730679674,72.01552094391744,67.53593804825513,47.45007802129678,65.22927429689788,46.223416934793725,48.73260802118142,41.21197708050541
Cell_77,Monocyte,Batch3,Disease,53.714284370998016,71.08471183941181,48.72150043337193,44.36884687161909,43.11733536835376,62.41742718739942,36.835765582522725,,66.83167971503163,36.27299147286206,52.78296670236307,45.89489058950292,46.394738546012334,47.26370303303189,45.854736233119894,54.20620504739574,41.197466638339975,56.22844534072434,55.87426109084258,35.60300568772524
Cell_78,Unknown,Batch2,Disease,45.5474494939292,44.235816018375374,,64.1678344249009,44.30645839709674,37.26214889225898,56.11708297395821,50.68812086706163,50.06119275855232,57.31540959863853,45.86923604740108,,32.52855981195178,34.61616950631917,44.13964754739914,59.90201092352166,error,52.38848283812696,41.412317075047035,58.001636150727506
Cell_79,NK,Batch1,Healthy,45.643003527655814,42.008566693315935,43.45312440900334,57.136667266690125,46.39186440201453,70.66191062599202,60.78786113647663,47.158869815705934,59.28652894510975,53.08827419840084,44.97216128640734,40.655993881073954,45.70388629134227,60.42979333368555,50.594835155597885,34.31812486112962,48.24611515064441,61.84103610156864,50.85681465620103,61.751164671369054
